idShop,distinctOrigins,sku,quantity,formatted_date,displayName,isRecommendation,estimatedDeliveryTimeValue,estimatedDeliveryTimeUnit,shippingMethod,fulfillmentMethod,state,freightCostCurrency,description,deliveryMethodId,isPickupEnable,isSchedulingEnable,descriptionLogistic,deliveryMethodType,deliveryEstimateBusinessDays,originBranchOfficeId,origin,destination,costOfGoods,productCategory,weight,providerShippingCost
idShop_0,1,sku_0,1,2024-04-15 14:01:09,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,6.29,productCategory_0,0.016,7.03
idShop_0,1,sku_0,1,2024-04-15 14:01:09,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,6.29,productCategory_0,0.016,16.37
idShop_0,1,sku_0,1,2024-04-15 14:01:09,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,6.29,productCategory_0,0.016,0
idShop_1,1,sku_0,1,2024-04-15 14:01:14,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,9.99,productCategory_0,0.016,7.07
idShop_1,1,sku_0,1,2024-04-15 14:01:14,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,9.99,productCategory_0,0.016,16.37
idShop_1,1,sku_0,1,2024-04-15 14:01:14,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,9.99,productCategory_0,0.016,0
idShop_2,1,sku_1,1,2024-04-15 14:03:33,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,152.91,productCategory_1,1.06,9.11
idShop_2,1,sku_1,1,2024-04-15 14:03:33,displayName_1,isRecommendation_0,3,DAY,shippingMethod_1,fulfillmentMethod_0,state_0,R$,description_1,deliveryMethodId_1,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_1,deliveryMethodType_1,3,originBranchOfficeId_0,3110010,13560470,152.91,productCategory_1,1.06,22.14
idShop_2,1,sku_1,1,2024-04-15 14:03:33,displayName_2,isRecommendation_0,0,DAY,shippingMethod_2,fulfillmentMethod_0,state_0,R$,description_2,deliveryMethodId_2,isPickupEnable_1,isSchedulingEnable_1,descriptionLogistic_2,deliveryMethodType_2,0,originBranchOfficeId_0,3110010,3110010,152.91,productCategory_1,1.06,0
idShop_3,1,sku_1,1,2024-04-15 14:03:47,displayName_0,isRecommendation_0,7,DAY,shippingMethod_0,fulfillmentMethod_0,state_0,R$,description_0,deliveryMethodId_0,isPickupEnable_0,isSchedulingEnable_0,descriptionLogistic_0,deliveryMethodType_0,7,originBranchOfficeId_0,3110010,13560470,169.9,productCategory_1,1.06,9.24
